FirstName,LastName,Username,Department,Title,Site,OU
Sarah,Chen,t.schen,Training,EHR Training - Physicians,Downtown,"OU=Training Users,OU=Training,OU=_MedPoint,DC=bplus,DC=lab"
James,Rivera,t.jrivera,Training,EHR Training - Physicians,Downtown,"OU=Training Users,OU=Training,OU=_MedPoint,DC=bplus,DC=lab"
Maria,Santos,t.msantos,Training,EHR Training - Nursing,Downtown,"OU=Training Users,OU=Training,OU=_MedPoint,DC=bplus,DC=lab"
David,Kim,t.dkim,Training,EHR Training - Nursing,Downtown,"OU=Training Users,OU=Training,OU=_MedPoint,DC=bplus,DC=lab"
Ashley,Johnson,t.ajohnson,Training,EHR Training - Medical Assistants,Downtown,"OU=Training Users,OU=Training,OU=_MedPoint,DC=bplus,DC=lab"
Robert,Williams,t.rwilliams,Training,EHR Training - Lab,Downtown,"OU=Training Users,OU=Training,OU=_MedPoint,DC=bplus,DC=lab"
Emily,Carter,t.ecarter,Training,EHR Training - Pharmacy,Downtown,"OU=Training Users,OU=Training,OU=_MedPoint,DC=bplus,DC=lab"
Lisa,Thompson,t.lthompson,Training,EHR Training - Front Desk,Downtown,"OU=Training Users,OU=Training,OU=_MedPoint,DC=bplus,DC=lab"
Mark,Anderson,t.manderson,Training,EHR Training - Billing,Downtown,"OU=Training Users,OU=Training,OU=_MedPoint,DC=bplus,DC=lab"
Kevin,Mitchell,t.kmitchell,Training,EHR Training - IT,Downtown,"OU=Training Users,OU=Training,OU=_MedPoint,DC=bplus,DC=lab"
Rachel,Foster,t.rfoster,Training,EHR Training - Nursing,Downtown,"OU=Training Users,OU=Training,OU=_MedPoint,DC=bplus,DC=lab"
Terrence,Washington,t.twashington,Training,EHR Training - Nursing,Downtown,"OU=Training Users,OU=Training,OU=_MedPoint,DC=bplus,DC=lab"
Brittany,Cole,t.bcole,Training,EHR Training - Medical Assistants,Downtown,"OU=Training Users,OU=Training,OU=_MedPoint,DC=bplus,DC=lab"
Ingrid,Johansson,t.ijohansson,Training,EHR Training - Lab,Downtown,"OU=Training Users,OU=Training,OU=_MedPoint,DC=bplus,DC=lab"
Brian,Kessler,t.bkessler,Training,EHR Training - Pharmacy,Downtown,"OU=Training Users,OU=Training,OU=_MedPoint,DC=bplus,DC=lab"
Christina,Lane,t.clane,Training,EHR Training - Front Desk,Downtown,"OU=Training Users,OU=Training,OU=_MedPoint,DC=bplus,DC=lab"
Veronica,Estrada,t.vestrada,Training,EHR Training - Billing,Downtown,"OU=Training Users,OU=Training,OU=_MedPoint,DC=bplus,DC=lab"
Jennifer,Davis,t.jdavis,Training,EHR Training - HR,Downtown,"OU=Training Users,OU=Training,OU=_MedPoint,DC=bplus,DC=lab"
Patricia,Moore,t.pmoore,Training,EHR Training - Executive,Downtown,"OU=Training Users,OU=Training,OU=_MedPoint,DC=bplus,DC=lab"
Tanya,Reeves,t.treeves,Training,EHR Training - IT,Downtown,"OU=Training Users,OU=Training,OU=_MedPoint,DC=bplus,DC=lab"
