FirstName,LastName,Username,Department,Title,Site,OU,Groups
Sarah,Chen,s.chen,Clinical - Physicians,MD Internal Medicine,Downtown,"OU=Physicians,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-VPN-Users"
James,Rivera,j.rivera,Clinical - Physicians,DO Family Medicine,WestSide,"OU=Physicians,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-VPN-Users"
Anika,Patel,a.patel,Clinical - Physicians,MD Pediatrics,Downtown,"OU=Physicians,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-VPN-Users"
Marcus,Okafor,m.okafor,Clinical - Physicians,DO Internal Medicine,WestSide,"OU=Physicians,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-VPN-Users"
Linda,Nguyen,l.nguyen,Clinical - Physicians,MD Family Medicine,Downtown,"OU=Physicians,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-VPN-Users"
Robert,Hoffman,r.hoffman,Clinical - Physicians,DO Urgent Care,EastSide,"OU=Physicians,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-VPN-Users"
Priya,Sharma,p.sharma,Clinical - Physicians,MD Geriatrics,Downtown,"OU=Physicians,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-VPN-Users"
Daniel,Reyes,d.reyes,Clinical - Physicians,MD Urgent Care,EastSide,"OU=Physicians,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-VPN-Users"
Catherine,Brooks,c.brooks,Clinical - Physicians,DO Pediatrics,WestSide,"OU=Physicians,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-VPN-Users"
Hector,Morales,h.morales,Clinical - Physicians,MD Family Medicine,Downtown,"OU=Physicians,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-VPN-Users"
Yuki,Tanaka,y.tanaka,Clinical - Physicians,MD Internal Medicine,WestSide,"OU=Physicians,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-VPN-Users"
Anthony,Wallace,a.wallace,Clinical - Physicians,DO Urgent Care,EastSide,"OU=Physicians,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-VPN-Users"
Maria,Santos,m.santos,Clinical - Nursing,RN Charge Nurse,Downtown,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
David,Kim,d.kim,Clinical - Nursing,LPN,EastSide,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-EastSide"
Rachel,Foster,r.foster,Clinical - Nursing,RN,Downtown,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Terrence,Washington,t.washington,Clinical - Nursing,RN,WestSide,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-WestSide"
Nicole,Bergstrom,n.bergstrom,Clinical - Nursing,LPN,Downtown,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Omar,Hassan,o.hassan,Clinical - Nursing,RN,WestSide,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-WestSide"
Amy,Larson,a.larson,Clinical - Nursing,CNA,Downtown,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Jerome,Butler,j.butler,Clinical - Nursing,RN,EastSide,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-EastSide"
Samantha,Price,s.price,Clinical - Nursing,LPN,WestSide,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-WestSide"
Carlos,Mendez,c.mendez,Clinical - Nursing,CNA,Downtown,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Hannah,Mitchell,h.mitchell,Clinical - Nursing,RN Charge Nurse,WestSide,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-WestSide"
Damon,Ortiz,d.ortiz,Clinical - Nursing,RN,Downtown,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Megan,Schultz,m.schultz,Clinical - Nursing,LPN,EastSide,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-EastSide"
Grace,Adeyemi,g.adeyemi,Clinical - Nursing,CNA,WestSide,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-WestSide"
Trevor,Banks,t.banks,Clinical - Nursing,RN,Downtown,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Lucia,Vargas,l.vargas,Clinical - Nursing,CNA,EastSide,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-EastSide"
Nathan,Cross,n.cross,Clinical - Nursing,LPN,Downtown,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Brianna,Hart,b.hart,Clinical - Nursing,RN,WestSide,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-WestSide"
Kenji,Nakamura,k.nakamura,Clinical - Nursing,CNA,Downtown,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Danielle,Owens,d.owens,Clinical - Nursing,RN Charge Nurse,EastSide,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-EastSide"
Victor,Ruiz,v.ruiz,Clinical - Nursing,RN,Downtown,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Simone,Calderon,s.calderon,Clinical - Nursing,RN,WestSide,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-WestSide"
Patrick,Donahue,p.donahue,Clinical - Nursing,CNA,EastSide,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-EastSide"
Yolanda,Freeman,y.freeman,Clinical - Nursing,LPN,Downtown,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Ian,Chambers,i.chambers,Clinical - Nursing,RN,EastSide,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-EastSide"
Rosa,Medina,r.medina,Clinical - Nursing,CNA,WestSide,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-WestSide"
Allen,Tate,a.tate,Clinical - Nursing,LPN,Downtown,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Cecilia,Warner,c.warner,Clinical - Nursing,RN,WestSide,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-WestSide"
Terrell,Knight,t.knight,Clinical - Nursing,CNA,Downtown,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Wendy,Barton,w.barton,Clinical - Nursing,RN,EastSide,"OU=Nursing,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-EastSide"
Ashley,Johnson,a.johnson,Clinical - Medical Assistants,CMA,Downtown,"OU=Medical Assistants,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Brittany,Cole,b.cole,Clinical - Medical Assistants,CMA,Downtown,"OU=Medical Assistants,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Ramon,Delgado,r.delgado,Clinical - Medical Assistants,CMA,WestSide,"OU=Medical Assistants,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-WestSide"
Tiffany,Garrett,t.garrett,Clinical - Medical Assistants,RMA,Downtown,"OU=Medical Assistants,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-Downtown"
Miguel,Herrera,m.herrera,Clinical - Medical Assistants,CMA,WestSide,"OU=Medical Assistants,OU=Clinical,OU=Users,OU=_MedPoint,DC=medpoint,DC=local","SG-Clinical-AllStaff;SG-EHR-Users;SG-PHI-Access;SG-Printers-WestSide"
